id,title,title_fr,slug,path,country,latlng,source,type
locations:lbn_a3_0081,Aalali,,[lbn],"[lbn,lbn_a1_08,lbn_a2_09]",,"{""lat"":34.20707433, ""lng"":35.77426764}",OCHA,node
locations:lbn_a3_0082,Aaley,,[lbn],"[lbn,lbn_a1_06,lbn_a2_02]",,"{""lat"":33.80589044, ""lng"":35.60390671}",OCHA,node
locations:lbn_a3_0083,"Aaley Bsatine",,[lbn],"[lbn,lbn_a1_06,lbn_a2_02]",,"{""lat"":33.75432215, ""lng"":35.52679831}",OCHA,node
locations:lbn_a3_0084,"Aali En-Nahri",,[lbn],"[lbn,lbn_a1_04,lbn_a2_25]",,"{""lat"":33.86221237, ""lng"":36.02737537}",OCHA,node
locations:lbn_a3_0085,"Aali Et-Taher",,[lbn],"[lbn,lbn_a1_07,lbn_a2_13]",,"{""lat"":33.36551101, ""lng"":35.51740998}",OCHA,node
locations:lbn_a3_0086,Aalita,,[lbn],"[lbn,lbn_a1_05,lbn_a2_16]",,"{""lat"":34.09101913, ""lng"":35.69114035}",OCHA,node
locations:lbn_a3_0087,Aalma,,[lbn],"[lbn,lbn_a1_08,lbn_a2_26]",,"{""lat"":34.42819051, ""lng"":35.90028271}",OCHA,node
locations:lbn_a3_0088,"Aalma Ech-Chaab",,[lbn],"[lbn,lbn_a1_09,lbn_a2_22]",,"{""lat"":33.10385302, ""lng"":35.17186009}",OCHA,node
locations:lbn_a3_0089,"Aalmane Ech-Chouf",,[lbn],"[lbn,lbn_a1_06,lbn_a2_08]",,"{""lat"":33.59143437, ""lng"":35.41158859}",OCHA,node
locations:lbn_a3_0090,"Aalmane Marjaayoun",,[lbn],"[lbn,lbn_a1_07,lbn_a2_19]",,"{""lat"":33.30301042, ""lng"":35.46579077}",OCHA,node
locations:lbn_a3_0091,"Aalmat Ech-Chamliyeh",,[lbn],"[lbn,lbn_a1_05,lbn_a2_16]",,"{""lat"":34.11001418, ""lng"":35.78752907}",OCHA,node
locations:lbn_a3_0092,"Aalmat Ej-Jnoubiyeh",,[lbn],"[lbn,lbn_a1_05,lbn_a2_16]",,"{""lat"":34.10527972, ""lng"":35.80717141}",OCHA,node
locations:lbn_a3_0093,"Aamaret Aakkar",,[lbn],"[lbn,lbn_a1_01,lbn_a2_01]",,"{""lat"":34.53111264, ""lng"":36.00677002}",OCHA,node
locations:lbn_a3_0094,"Aamaret Chalhoub",,[lbn],"[lbn,lbn_a1_06,lbn_a2_11]",,"{""lat"":33.90000423, ""lng"":35.56951333}",OCHA,node
locations:lbn_a3_0095,"Aamaret El-Baykat",,[lbn],"[lbn,lbn_a1_01,lbn_a2_01]",,"{""lat"":34.6113576, ""lng"":36.16538286}",OCHA,node
